TERM,PART_OF_TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,WAITLIST MAX,WAITLIST ACTUAL,PRIMARY INSTRUCTOR FIRST NAME,PRIMARY INSTRUCTOR LAST NAME,SECONDARY INSTRUCTOR FIRST NAME,SECONDARY INSTRUCTOR LAST NAME,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BLD,ROOM,MODALITY CODE,MODALITY TEXT
202310,Full Term,VCU Life Sciences,ENVS,ENVS370,1,42088,LEC,3,3,APPLIC OF CONSERVATION SCIENCE,,20,9,0,0,Lesley,Bulluck,,,8/23/22,12/12/22,,T,,R,,,,930,1045,LFSCB,251,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS391,901,39032,LEC,3,3,CANCELLED,,0,0,0,0,,,,,.,.,,,,,,,,,,,,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS391,902,39442,LEC,3,3,TOP: ENERGY POLICY,,20,19,0,0,Brian,Toibin,,,8/23/22,12/12/22,M,,,,,,,1600,1840,HHALL,2107,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS421,1,37450,LEC,3,3,ENV DATA VISUALIZATION,,0,8,0,0,Jennifer,Ciminelli,,,8/23/22,12/12/22,,T,,,,,,1200,1440,LFSCB,103,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS460,1,42130,LEC,3,3,WILDERNESS FIRST RESPONDER,,20,18,0,0,Christina,Spohn,,,8/23/22,12/12/22,,,W,,,,,800,1055,,,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS491,1,42092,LEC,3,3,ST: URBAN ECOLOGY,,0,5,0,0,Catherine,Viverette,,,8/23/22,12/12/22,,,,R,,,,900,1140,LFSCB,103,RINP,Face-to-Face instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS491,2,44617,LEC,3,3,TOP: ENVS PRECEPTOR,,0,7,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,,,RINS,Directed Instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS491,901,40530,LEC,1,1,TOP:CAMPUS SUSTAINABLTY COUNCL,,0,0,0,0,Daniel,Albrecht-Mallinger,,,8/23/22,12/12/22,,T,,,,,,1900,2050,ONLNE,OL,ROND,Online-synchronous instruction
202310,Full Term,VCU Life Sciences,ENVS,ENVS492,1,12721,IND,1,1,INDEPENDENT STUDY,,0,3,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS492,2,22945,IND,2,2,INDEPENDENT STUDY,,0,0,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS492,3,12722,IND,3,3,INDEPENDENT STUDY,,0,6,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONL,Online-asynchronous instruct
202310,Full Term,VCU Life Sciences,ENVS,ENVS493,1,12723,FLD,1,1,ENVIRONMNTL STUDIES INTERNSHIP,,0,0,0,0,James,Vonesh,,,8/23/22,12/12/22,,,,,,,,,,ONLNE,,RONF,Blended-asynchronous instruct
